[14:19:37] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[14:19:46] [Worker-Main-4/INFO]: Loaded 7 recipes
[14:19:49] [Worker-Main-4/INFO]: Loaded 1141 advancements
[14:20:01] [Server thread/INFO]: Starting minecraft server version 1.18.1
[14:20:01] [Server thread/INFO]: Loading properties
[14:20:01] [Server thread/INFO]: Default game type: SURVIVAL
[14:20:01] [Server thread/INFO]: Generating keypair
[14:20:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:20:02] [Server thread/INFO]: Using epoll channel type
[14:20:04] [Server thread/INFO]: Preparing level "world"
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:31] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:31] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:32] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:32] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:33] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:34] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[14:20:34] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[14:20:35] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[14:20:35] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[14:20:36] [Worker-Main-6/INFO]: Preparing spawn area: 8%
[14:20:36] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[14:20:37] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[14:20:37] [Worker-Main-4/INFO]: Preparing spawn area: 12%
[14:20:38] [Worker-Main-6/INFO]: Preparing spawn area: 15%
[14:20:38] [Worker-Main-6/INFO]: Preparing spawn area: 16%
[14:20:39] [Worker-Main-4/INFO]: Preparing spawn area: 18%
[14:20:39] [Worker-Main-5/INFO]: Preparing spawn area: 20%
[14:20:40] [Worker-Main-4/INFO]: Preparing spawn area: 22%
[14:20:40] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[14:20:43] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[14:20:43] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[14:20:43] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[14:20:43] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[14:20:43] [Worker-Main-5/INFO]: Preparing spawn area: 25%
[14:20:43] [Worker-Main-6/INFO]: Preparing spawn area: 30%
[14:20:44] [Worker-Main-5/INFO]: Preparing spawn area: 33%
[14:20:44] [Worker-Main-4/INFO]: Preparing spawn area: 36%
[14:20:45] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[14:20:45] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[14:20:46] [Worker-Main-6/INFO]: Preparing spawn area: 46%
[14:20:46] [Worker-Main-5/INFO]: Preparing spawn area: 48%
[14:20:47] [Worker-Main-5/INFO]: Preparing spawn area: 51%
[14:20:47] [Worker-Main-5/INFO]: Preparing spawn area: 54%
[14:20:48] [Worker-Main-4/INFO]: Preparing spawn area: 54%
[14:20:49] [Worker-Main-5/INFO]: Preparing spawn area: 56%
[14:20:49] [Worker-Main-4/INFO]: Preparing spawn area: 57%
[14:20:49] [Worker-Main-6/INFO]: Preparing spawn area: 61%
[14:20:50] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[14:20:50] [Worker-Main-4/INFO]: Preparing spawn area: 67%
[14:20:51] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[14:20:53] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[14:20:53] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[14:20:53] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[14:20:54] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[14:20:54] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[14:20:54] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[14:20:55] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[14:20:55] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[14:20:55] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[14:20:56] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[14:20:56] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[14:20:57] [Worker-Main-4/INFO]: Preparing spawn area: 72%
[14:20:57] [Worker-Main-5/INFO]: Preparing spawn area: 72%
[14:20:58] [Worker-Main-6/INFO]: Preparing spawn area: 72%
[14:20:59] [Worker-Main-4/INFO]: Preparing spawn area: 72%
[14:20:59] [Worker-Main-6/INFO]: Preparing spawn area: 72%
[14:21:00] [Worker-Main-6/INFO]: Preparing spawn area: 72%
[14:21:00] [Worker-Main-4/INFO]: Preparing spawn area: 73%
[14:21:01] [Worker-Main-5/INFO]: Preparing spawn area: 73%
[14:21:01] [Worker-Main-6/INFO]: Preparing spawn area: 73%
[14:21:02] [Worker-Main-5/INFO]: Preparing spawn area: 73%
[14:21:02] [Worker-Main-6/INFO]: Preparing spawn area: 73%
[14:21:02] [Worker-Main-5/INFO]: Preparing spawn area: 74%
[14:21:03] [Worker-Main-6/INFO]: Preparing spawn area: 74%
[14:21:03] [Worker-Main-6/INFO]: Preparing spawn area: 74%
[14:21:04] [Worker-Main-6/INFO]: Preparing spawn area: 74%
[14:21:05] [Worker-Main-4/INFO]: Preparing spawn area: 75%
[14:21:05] [Worker-Main-4/INFO]: Preparing spawn area: 76%
[14:21:05] [Worker-Main-6/INFO]: Preparing spawn area: 76%
[14:21:06] [Worker-Main-4/INFO]: Preparing spawn area: 77%
[14:21:06] [Worker-Main-4/INFO]: Preparing spawn area: 78%
[14:21:07] [Worker-Main-5/INFO]: Preparing spawn area: 79%
[14:21:08] [Worker-Main-6/INFO]: Preparing spawn area: 81%
[14:21:08] [Worker-Main-5/INFO]: Preparing spawn area: 81%
[14:21:08] [Worker-Main-5/INFO]: Preparing spawn area: 82%
[14:21:09] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[14:21:09] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[14:21:11] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[14:21:11] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[14:21:11] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[14:21:11] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[14:21:12] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[14:21:12] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[14:21:13] [Worker-Main-6/INFO]: Preparing spawn area: 83%
[14:21:13] [Worker-Main-5/INFO]: Preparing spawn area: 86%
[14:21:14] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[14:21:15] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[14:21:15] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[14:21:16] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[14:21:16] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[14:21:16] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[14:21:17] [Worker-Main-4/INFO]: Preparing spawn area: 88%
[14:21:18] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[14:21:18] [Worker-Main-4/INFO]: Preparing spawn area: 88%
[14:21:18] [Worker-Main-4/INFO]: Preparing spawn area: 88%
[14:21:19] [Worker-Main-6/INFO]: Preparing spawn area: 89%
[14:21:19] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[14:21:20] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[14:21:20] [Worker-Main-6/INFO]: Preparing spawn area: 89%
[14:21:21] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[14:21:21] [Worker-Main-5/INFO]: Preparing spawn area: 92%
[14:21:22] [Worker-Main-4/INFO]: Preparing spawn area: 92%
[14:21:22] [Worker-Main-4/INFO]: Preparing spawn area: 93%
[14:21:23] [Worker-Main-4/INFO]: Preparing spawn area: 93%
[14:21:24] [Worker-Main-4/INFO]: Preparing spawn area: 93%
[14:21:24] [Worker-Main-6/INFO]: Preparing spawn area: 93%
[14:21:24] [Worker-Main-4/INFO]: Preparing spawn area: 94%
[14:21:25] [Worker-Main-4/INFO]: Preparing spawn area: 94%
[14:21:25] [Worker-Main-6/INFO]: Preparing spawn area: 94%
[14:21:26] [Worker-Main-4/INFO]: Preparing spawn area: 94%
[14:21:26] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[14:21:27] [Worker-Main-5/INFO]: Preparing spawn area: 95%
[14:21:28] [Worker-Main-4/INFO]: Preparing spawn area: 95%
[14:21:28] [Worker-Main-6/INFO]: Preparing spawn area: 95%
[14:21:28] [Worker-Main-4/INFO]: Preparing spawn area: 96%
[14:21:29] [Worker-Main-6/INFO]: Preparing spawn area: 96%
[14:21:29] [Worker-Main-4/INFO]: Preparing spawn area: 96%
[14:21:30] [Worker-Main-5/INFO]: Preparing spawn area: 96%
[14:21:30] [Worker-Main-6/INFO]: Preparing spawn area: 96%
[14:21:31] [Worker-Main-6/INFO]: Preparing spawn area: 98%
[14:21:31] [Worker-Main-6/INFO]: Preparing spawn area: 98%
[14:21:32] [Worker-Main-4/INFO]: Preparing spawn area: 98%
[14:21:32] [Worker-Main-4/INFO]: Preparing spawn area: 99%
[14:21:33] [Worker-Main-4/INFO]: Preparing spawn area: 99%
[14:21:33] [Server thread/INFO]: Time elapsed: 88312 ms
[14:21:33] [Server thread/INFO]: Done (89.469s)! For help, type "help"
[14:21:36] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2016ms or 40 ticks behind
[14:21:55] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4343ms or 86 ticks behind
[14:27:55] [User Authenticator #1/INFO]: UUID of player J850NK is 45454ed2-e77c-4913-8889-fc6588744ca7
[14:27:56] [Server thread/INFO]: J850NK[/82.14.34.97:53345] logged in with entity id 124 at (-3426.7749813113414, 63.0, 2636.780791104732)
[14:27:56] [Server thread/INFO]: J850NK joined the game
[14:28:00] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4346ms or 86 ticks behind
[14:28:17] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2214ms or 44 ticks behind
[14:28:34] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2009ms or 40 ticks behind
[14:30:46] [Server thread/INFO]: <J850NK> you here?
[14:33:06] [Server thread/INFO]: J850NK has made the advancement [Who is Cutting Onions?]
[14:41:32] [Server thread/INFO]: <J850NK> where are you
[14:43:22] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Input/output error
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at acj$1.run(SourceFile:101) [server-1.18.1.jar:?]
[14:43:22] [Server thread/INFO]: Stopping server
